ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2013-02-05 06:28:54+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],200613,US,71.56.209.168,Diva,Beyoncé,I AM...SASHA FIERCE,spotify:track:5Ssv6DaKrW0HczVqx6zXdl,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-05 06:40:57+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],257826,US,71.56.209.168,Nasty Girl,Destiny's Child,Survivor,spotify:track:695RxpwiDj0crqVH55tKkr,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-05 06:49:22+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],236400,US,71.56.209.168,Emotion,Destiny's Child,Survivor,spotify:track:01Aj44KIjCrPmZeXq4UOky,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-05 07:12:33+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],212440,US,71.56.209.168,Bug a Boo (H-Town Screwed Mix),Destiny's Child,The Writing's On The Wall,spotify:track:3iZizHVmWHdaJbvcU65S6x,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-05 07:24:12+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],210453,US,71.56.209.168,Check On It (feat. Bun B & Slim Thug),Beyoncé,B'Day,spotify:track:2RWxrpsFshOBFwRBRstUlQ,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-05 07:27:50+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],217946,US,71.56.209.168,Listen - from the motion picture Dreamgirls,Beyoncé,B'Day,spotify:track:1q6tVwU90PoRpPDD7hABBD,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-05 07:39:39+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],256026,US,71.56.209.168,"Bills, Bills, Bills",Destiny's Child,The Writing's On The Wall,spotify:track:1Oi2zpmL81Q0yScF1zxaC0,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-05 07:47:21+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],254040,US,71.56.209.168,Survivor,Destiny's Child,Survivor,spotify:track:5sN8MGWR2pu2Rn3oAOPYXt,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-05 08:33:03+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],245480,US,71.56.209.168,Party (feat. André 3000),Beyoncé,4,spotify:track:5rJsYzKWZpdZwrS4Yj7U9A,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-05 08:45:02+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],253760,US,71.56.209.168,Lay Up Under Me,Beyoncé,4 (Deluxe),spotify:track:5tqFASc0lJfGYfpRQnzSYW,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
